project,datetime,siteId,rType,sublocation,SN,condUncal,tempC,rep,SpC,wetdry,qual_rating,QAQC
AIMS,2022-01-01T19:00:00Z,SFM04,STIC,HS,20946500,312.2,-1.341,20210902-20220112,0,0,excellent,C
AIMS,2022-01-01T19:15:00Z,SFM04,STIC,HS,20946500,312.2,-1.114,20210902-20220112,0,0,excellent,C
AIMS,2022-01-01T19:30:00Z,SFM04,STIC,HS,20946500,312.2,-1.001,20210902-20220112,0,0,excellent,C
AIMS,2022-01-01T19:45:00Z,SFM04,STIC,HS,20946500,312.2,-0.887,20210902-20220112,0,0,excellent,C
AIMS,2022-01-01T20:00:00Z,SFM04,STIC,HS,20946500,312.2,-0.887,20210902-20220112,0,0,excellent,C
AIMS,2022-01-01T20:15:00Z,SFM04,STIC,HS,20946500,312.2,-0.774,20210902-20220112,0,0,excellent,C
AIMS,2022-01-01T20:30:00Z,SFM04,STIC,HS,20946500,312.2,-0.774,20210902-20220112,0,0,excellent,C
AIMS,2022-01-01T20:45:00Z,SFM04,STIC,HS,20946500,312.2,-0.887,20210902-20220112,0,0,excellent,C
AIMS,2022-01-01T21:00:00Z,SFM04,STIC,HS,20946500,312.2,-0.774,20210902-20220112,0,0,excellent,C
AIMS,2022-01-01T21:15:00Z,SFM04,STIC,HS,20946500,312.2,-0.887,20210902-20220112,0,0,excellent,C
AIMS,2022-01-01T21:30:00Z,SFM04,STIC,HS,20946500,312.2,-0.887,20210902-20220112,0,0,excellent,C
AIMS,2022-01-01T21:45:00Z,SFM04,STIC,HS,20946500,312.2,-0.774,20210902-20220112,0,0,excellent,C
AIMS,2022-01-01T22:00:00Z,SFM04,STIC,HS,20946500,312.2,-0.774,20210902-20220112,0,0,excellent,C
AIMS,2022-01-01T22:15:00Z,SFM04,STIC,HS,20946500,312.2,-0.774,20210902-20220112,0,0,excellent,C
AIMS,2022-01-01T22:30:00Z,SFM04,STIC,HS,20946500,312.2,-0.774,20210902-20220112,0,0,excellent,C
AIMS,2022-01-01T22:45:00Z,SFM04,STIC,HS,20946500,312.2,-0.774,20210902-20220112,0,0,excellent,C
AIMS,2022-01-01T23:00:00Z,SFM04,STIC,HS,20946500,312.2,-0.774,20210902-20220112,0,0,excellent,C
AIMS,2022-01-01T23:15:00Z,SFM04,STIC,HS,20946500,312.2,-0.774,20210902-20220112,0,0,excellent,C
AIMS,2022-01-01T23:30:00Z,SFM04,STIC,HS,20946500,312.2,-0.774,20210902-20220112,0,0,excellent,C
AIMS,2022-01-01T23:45:00Z,SFM04,STIC,HS,20946500,312.2,-0.774,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T00:00:00Z,SFM04,STIC,HS,20946500,312.2,-0.887,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T00:15:00Z,SFM04,STIC,HS,20946500,312.2,-0.774,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T00:30:00Z,SFM04,STIC,HS,20946500,312.2,-0.774,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T00:45:00Z,SFM04,STIC,HS,20946500,312.2,-0.6619999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T01:00:00Z,SFM04,STIC,HS,20946500,312.2,-0.6619999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T01:15:00Z,SFM04,STIC,HS,20946500,312.2,-0.6619999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T01:30:00Z,SFM04,STIC,HS,20946500,312.2,-0.549,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T01:45:00Z,SFM04,STIC,HS,20946500,312.2,-0.549,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T02:00:00Z,SFM04,STIC,HS,20946500,312.2,-0.43700000000000006,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T02:15:00Z,SFM04,STIC,HS,20946500,312.2,-0.325,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T02:30:00Z,SFM04,STIC,HS,20946500,312.2,-0.325,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T02:45:00Z,SFM04,STIC,HS,20946500,312.2,-0.21300000000000002,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T03:00:00Z,SFM04,STIC,HS,20946500,312.2,-0.21300000000000002,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T03:15:00Z,SFM04,STIC,HS,20946500,312.2,-0.21300000000000002,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T03:30:00Z,SFM04,STIC,HS,20946500,312.2,-0.21300000000000002,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T03:45:00Z,SFM04,STIC,HS,20946500,312.2,-0.21300000000000002,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T04:00:00Z,SFM04,STIC,HS,20946500,322.9,-0.10200000000000001,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T04:15:00Z,SFM04,STIC,HS,20946500,322.9,-0.10200000000000001,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T04:30:00Z,SFM04,STIC,HS,20946500,322.9,0.01,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T04:45:00Z,SFM04,STIC,HS,20946500,322.9,0.01,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T05:00:00Z,SFM04,STIC,HS,20946500,322.9,0.01,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T05:15:00Z,SFM04,STIC,HS,20946500,322.9,0.01,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T05:30:00Z,SFM04,STIC,HS,20946500,322.9,0.01,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T05:45:00Z,SFM04,STIC,HS,20946500,322.9,0.01,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T06:00:00Z,SFM04,STIC,HS,20946500,322.9,0.12100000000000001,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T06:15:00Z,SFM04,STIC,HS,20946500,322.9,0.232,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T06:30:00Z,SFM04,STIC,HS,20946500,322.9,0.34299999999999997,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T06:45:00Z,SFM04,STIC,HS,20946500,322.9,0.453,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T07:00:00Z,SFM04,STIC,HS,20946500,322.9,0.453,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T07:15:00Z,SFM04,STIC,HS,20946500,322.9,0.5630000000000001,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T07:30:00Z,SFM04,STIC,HS,20946500,322.9,0.5630000000000001,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T07:45:00Z,SFM04,STIC,HS,20946500,322.9,0.6739999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T08:00:00Z,SFM04,STIC,HS,20946500,322.9,0.6739999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T08:15:00Z,SFM04,STIC,HS,20946500,322.9,0.6739999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T08:30:00Z,SFM04,STIC,HS,20946500,322.9,0.6739999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T08:45:00Z,SFM04,STIC,HS,20946500,322.9,0.6739999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T09:00:00Z,SFM04,STIC,HS,20946500,322.9,0.7839999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T09:15:00Z,SFM04,STIC,HS,20946500,322.9,0.7839999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T09:30:00Z,SFM04,STIC,HS,20946500,322.9,0.7839999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T09:45:00Z,SFM04,STIC,HS,20946500,322.9,0.7839999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T10:00:00Z,SFM04,STIC,HS,20946500,322.9,0.7839999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T10:15:00Z,SFM04,STIC,HS,20946500,322.9,0.6739999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T10:30:00Z,SFM04,STIC,HS,20946500,322.9,0.6739999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T10:45:00Z,SFM04,STIC,HS,20946500,322.9,0.6739999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T11:00:00Z,SFM04,STIC,HS,20946500,322.9,0.6739999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T11:15:00Z,SFM04,STIC,HS,20946500,322.9,0.6739999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T11:30:00Z,SFM04,STIC,HS,20946500,322.9,0.5630000000000001,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T11:45:00Z,SFM04,STIC,HS,20946500,322.9,0.5630000000000001,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T12:00:00Z,SFM04,STIC,HS,20946500,322.9,0.453,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T12:15:00Z,SFM04,STIC,HS,20946500,322.9,0.453,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T12:30:00Z,SFM04,STIC,HS,20946500,333.7,0.453,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T12:45:00Z,SFM04,STIC,HS,20946500,333.7,0.453,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T13:00:00Z,SFM04,STIC,HS,20946500,333.7,0.34299999999999997,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T13:15:00Z,SFM04,STIC,HS,20946500,322.9,0.232,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T13:30:00Z,SFM04,STIC,HS,20946500,322.9,0.12100000000000001,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T13:45:00Z,SFM04,STIC,HS,20946500,322.9,0.01,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T14:00:00Z,SFM04,STIC,HS,20946500,322.9,-0.21300000000000002,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T14:15:00Z,SFM04,STIC,HS,20946500,322.9,-0.43700000000000006,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T14:30:00Z,SFM04,STIC,HS,20946500,322.9,-0.549,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T14:45:00Z,SFM04,STIC,HS,20946500,322.9,-0.6619999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T15:00:00Z,SFM04,STIC,HS,20946500,322.9,-0.774,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T15:15:00Z,SFM04,STIC,HS,20946500,322.9,-0.774,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T15:30:00Z,SFM04,STIC,HS,20946500,322.9,-0.774,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T15:45:00Z,SFM04,STIC,HS,20946500,322.9,-0.774,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T16:00:00Z,SFM04,STIC,HS,20946500,322.9,-0.6619999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T16:15:00Z,SFM04,STIC,HS,20946500,322.9,-0.6619999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T16:30:00Z,SFM04,STIC,HS,20946500,322.9,-0.6619999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T16:45:00Z,SFM04,STIC,HS,20946500,322.9,-0.549,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T17:00:00Z,SFM04,STIC,HS,20946500,322.9,-0.43700000000000006,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T17:15:00Z,SFM04,STIC,HS,20946500,322.9,-0.325,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T17:30:00Z,SFM04,STIC,HS,20946500,322.9,-0.21300000000000002,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T17:45:00Z,SFM04,STIC,HS,20946500,322.9,0.01,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T18:00:00Z,SFM04,STIC,HS,20946500,322.9,0.12100000000000001,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T18:15:00Z,SFM04,STIC,HS,20946500,322.9,0.34299999999999997,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T18:30:00Z,SFM04,STIC,HS,20946500,322.9,0.5630000000000001,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T18:45:00Z,SFM04,STIC,HS,20946500,333.7,0.6739999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T19:00:00Z,SFM04,STIC,HS,20946500,333.7,0.893,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T19:15:00Z,SFM04,STIC,HS,20946500,333.7,1.003,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T19:30:00Z,SFM04,STIC,HS,20946500,333.7,1.003,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T19:45:00Z,SFM04,STIC,HS,20946500,333.7,1.112,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T20:00:00Z,SFM04,STIC,HS,20946500,333.7,1.2209999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T20:15:00Z,SFM04,STIC,HS,20946500,333.7,1.33,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T20:30:00Z,SFM04,STIC,HS,20946500,333.7,1.4389999999999998,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T20:45:00Z,SFM04,STIC,HS,20946500,333.7,1.548,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T21:00:00Z,SFM04,STIC,HS,20946500,333.7,1.548,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T21:15:00Z,SFM04,STIC,HS,20946500,333.7,1.548,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T21:30:00Z,SFM04,STIC,HS,20946500,333.7,1.548,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T21:45:00Z,SFM04,STIC,HS,20946500,333.7,1.548,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T22:00:00Z,SFM04,STIC,HS,20946500,333.7,1.548,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T22:15:00Z,SFM04,STIC,HS,20946500,333.7,1.548,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T22:30:00Z,SFM04,STIC,HS,20946500,333.7,1.4389999999999998,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T22:45:00Z,SFM04,STIC,HS,20946500,333.7,1.4389999999999998,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T23:00:00Z,SFM04,STIC,HS,20946500,333.7,1.4389999999999998,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T23:15:00Z,SFM04,STIC,HS,20946500,333.7,1.33,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T23:30:00Z,SFM04,STIC,HS,20946500,333.7,1.33,20210902-20220112,0,0,excellent,C
AIMS,2022-01-02T23:45:00Z,SFM04,STIC,HS,20946500,333.7,1.2209999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T00:00:00Z,SFM04,STIC,HS,20946500,333.7,1.2209999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T00:15:00Z,SFM04,STIC,HS,20946500,333.7,1.112,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T00:30:00Z,SFM04,STIC,HS,20946500,333.7,1.003,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T00:45:00Z,SFM04,STIC,HS,20946500,333.7,1.003,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T01:00:00Z,SFM04,STIC,HS,20946500,333.7,0.893,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T01:15:00Z,SFM04,STIC,HS,20946500,333.7,0.893,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T01:30:00Z,SFM04,STIC,HS,20946500,333.7,0.7839999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T01:45:00Z,SFM04,STIC,HS,20946500,333.7,0.7839999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T02:00:00Z,SFM04,STIC,HS,20946500,333.7,0.6739999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T02:15:00Z,SFM04,STIC,HS,20946500,333.7,0.6739999999999999,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T02:30:00Z,SFM04,STIC,HS,20946500,333.7,0.5630000000000001,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T02:45:00Z,SFM04,STIC,HS,20946500,333.7,0.5630000000000001,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T03:00:00Z,SFM04,STIC,HS,20946500,333.7,0.453,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T03:15:00Z,SFM04,STIC,HS,20946500,333.7,0.34299999999999997,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T03:30:00Z,SFM04,STIC,HS,20946500,333.7,0.34299999999999997,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T03:45:00Z,SFM04,STIC,HS,20946500,333.7,0.34299999999999997,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T04:00:00Z,SFM04,STIC,HS,20946500,333.7,0.34299999999999997,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T04:15:00Z,SFM04,STIC,HS,20946500,333.7,0.34299999999999997,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T04:30:00Z,SFM04,STIC,HS,20946500,333.7,0.34299999999999997,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T04:45:00Z,SFM04,STIC,HS,20946500,333.7,0.34299999999999997,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T05:00:00Z,SFM04,STIC,HS,20946500,333.7,0.34299999999999997,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T05:15:00Z,SFM04,STIC,HS,20946500,333.7,0.34299999999999997,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T05:30:00Z,SFM04,STIC,HS,20946500,333.7,0.34299999999999997,20210902-20220112,0,0,excellent,C
AIMS,2022-01-03T05:45:00Z,SFM04,STIC,HS,20946500,333.7,0.34299999999999997,20210902-20220112,0,0,excellent,C
