project,datetime,siteId,rType,sublocation,SN,condUncal,tempC,rep,SpC,wetdry,qual_rating,QAQC
AIMS,2022-01-01T00:00:00Z,SFM02,STIC,HS,21044163,118.4,3.6830000000000003,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T00:15:00Z,SFM02,STIC,HS,21044163,118.4,3.578,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T00:30:00Z,SFM02,STIC,HS,21044163,118.4,3.367,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T00:45:00Z,SFM02,STIC,HS,21044163,118.4,3.261,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T01:00:00Z,SFM02,STIC,HS,21044163,118.4,3.155,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T01:15:00Z,SFM02,STIC,HS,21044163,118.4,2.943,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T01:30:00Z,SFM02,STIC,HS,21044163,118.4,2.943,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T01:45:00Z,SFM02,STIC,HS,21044163,118.4,2.8369999999999997,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T02:00:00Z,SFM02,STIC,HS,21044163,118.4,2.8369999999999997,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T02:15:00Z,SFM02,STIC,HS,21044163,118.4,2.8369999999999997,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T02:30:00Z,SFM02,STIC,HS,21044163,118.4,2.73,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T02:45:00Z,SFM02,STIC,HS,21044163,118.4,2.624,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T03:00:00Z,SFM02,STIC,HS,21044163,118.4,2.624,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T03:15:00Z,SFM02,STIC,HS,21044163,118.4,2.624,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T03:30:00Z,SFM02,STIC,HS,21044163,118.4,2.517,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T03:45:00Z,SFM02,STIC,HS,21044163,118.4,2.4099999999999997,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T04:00:00Z,SFM02,STIC,HS,21044163,118.4,2.4099999999999997,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T04:15:00Z,SFM02,STIC,HS,21044163,118.4,2.4099999999999997,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T04:30:00Z,SFM02,STIC,HS,21044163,118.4,2.303,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T04:45:00Z,SFM02,STIC,HS,21044163,118.4,2.195,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T05:00:00Z,SFM02,STIC,HS,21044163,118.4,2.195,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T05:15:00Z,SFM02,STIC,HS,21044163,118.4,2.195,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T05:30:00Z,SFM02,STIC,HS,21044163,118.4,2.195,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T05:45:00Z,SFM02,STIC,HS,21044163,118.4,2.195,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T06:00:00Z,SFM02,STIC,HS,21044163,118.4,2.088,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T06:15:00Z,SFM02,STIC,HS,21044163,118.4,1.98,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T06:30:00Z,SFM02,STIC,HS,21044163,118.4,1.98,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T06:45:00Z,SFM02,STIC,HS,21044163,118.4,1.872,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T07:00:00Z,SFM02,STIC,HS,21044163,118.4,1.764,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T07:15:00Z,SFM02,STIC,HS,21044163,118.4,1.6560000000000001,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T07:30:00Z,SFM02,STIC,HS,21044163,118.4,1.548,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T07:45:00Z,SFM02,STIC,HS,21044163,118.4,1.4389999999999998,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T08:00:00Z,SFM02,STIC,HS,21044163,118.4,1.4389999999999998,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T08:15:00Z,SFM02,STIC,HS,21044163,118.4,1.33,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T08:30:00Z,SFM02,STIC,HS,21044163,118.4,1.2209999999999999,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T08:45:00Z,SFM02,STIC,HS,21044163,118.4,1.2209999999999999,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T09:00:00Z,SFM02,STIC,HS,21044163,118.4,0.893,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T09:15:00Z,SFM02,STIC,HS,21044163,118.4,0.7839999999999999,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T09:30:00Z,SFM02,STIC,HS,21044163,118.4,0.6739999999999999,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T09:45:00Z,SFM02,STIC,HS,21044163,118.4,0.5630000000000001,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T10:00:00Z,SFM02,STIC,HS,21044163,118.4,0.453,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T10:15:00Z,SFM02,STIC,HS,21044163,118.4,0.232,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T10:30:00Z,SFM02,STIC,HS,21044163,118.4,0.12100000000000001,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T10:45:00Z,SFM02,STIC,HS,21044163,118.4,-0.10200000000000001,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T11:00:00Z,SFM02,STIC,HS,21044163,118.4,-0.21300000000000002,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T11:15:00Z,SFM02,STIC,HS,21044163,118.4,-0.43700000000000006,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T11:30:00Z,SFM02,STIC,HS,21044163,129.2,0.232,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T11:45:00Z,SFM02,STIC,HS,21044163,129.2,0.12100000000000001,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T12:00:00Z,SFM02,STIC,HS,21044163,129.2,-0.10200000000000001,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T12:15:00Z,SFM02,STIC,HS,21044163,129.2,-0.325,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T12:30:00Z,SFM02,STIC,HS,21044163,129.2,-0.43700000000000006,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T12:45:00Z,SFM02,STIC,HS,21044163,129.2,-0.6619999999999999,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T13:00:00Z,SFM02,STIC,HS,21044163,129.2,-0.774,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T13:15:00Z,SFM02,STIC,HS,21044163,129.2,-0.887,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T13:30:00Z,SFM02,STIC,HS,21044163,118.4,-1.114,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T13:45:00Z,SFM02,STIC,HS,21044163,118.4,-1.228,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T14:00:00Z,SFM02,STIC,HS,21044163,118.4,-1.228,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T14:15:00Z,SFM02,STIC,HS,21044163,118.4,-1.341,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T14:30:00Z,SFM02,STIC,HS,21044163,118.4,-1.456,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T14:45:00Z,SFM02,STIC,HS,21044163,118.4,-1.456,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T15:00:00Z,SFM02,STIC,HS,21044163,118.4,-1.57,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T15:15:00Z,SFM02,STIC,HS,21044163,118.4,-1.6840000000000002,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T15:30:00Z,SFM02,STIC,HS,21044163,118.4,-1.6840000000000002,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T15:45:00Z,SFM02,STIC,HS,21044163,107.6,-1.799,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T16:00:00Z,SFM02,STIC,HS,21044163,107.6,-1.799,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T16:15:00Z,SFM02,STIC,HS,21044163,107.6,-1.914,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T16:30:00Z,SFM02,STIC,HS,21044163,107.6,-2.03,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T16:45:00Z,SFM02,STIC,HS,21044163,96.9,-2.145,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T17:00:00Z,SFM02,STIC,HS,21044163,86.1,-2.261,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T17:15:00Z,SFM02,STIC,HS,21044163,75.3,-2.261,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T17:30:00Z,SFM02,STIC,HS,21044163,64.6,-2.377,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T17:45:00Z,SFM02,STIC,HS,21044163,64.6,-2.377,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T18:00:00Z,SFM02,STIC,HS,21044163,53.8,-2.377,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T18:15:00Z,SFM02,STIC,HS,21044163,53.8,-2.261,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T18:30:00Z,SFM02,STIC,HS,21044163,64.6,-2.261,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T18:45:00Z,SFM02,STIC,HS,21044163,64.6,-2.03,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T19:00:00Z,SFM02,STIC,HS,21044163,75.3,-1.799,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T19:15:00Z,SFM02,STIC,HS,21044163,75.3,-1.6840000000000002,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T19:30:00Z,SFM02,STIC,HS,21044163,86.1,-1.57,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T19:45:00Z,SFM02,STIC,HS,21044163,96.9,-1.57,20210902-20220112,0,0,fair,C
AIMS,2022-01-01T20:00:00Z,SFM02,STIC,HS,21044163,96.9,-1.57,20210902-20220112,0,0,fair,C
